"","month","origin_state","dest_state","N"
"740",1,"colorado","south dakota",299
"741",1,"south dakota","colorado",298
"742",1,"colorado","south carolina",75
"743",1,"south carolina","colorado",75
"744",1,"florida","oklahoma",48
"745",1,"oklahoma","florida",48
"746",1,"massachusetts","south carolina",95
"747",1,"louisiana","new jersey",164
"748",1,"south carolina","massachusetts",95
"749",1,"minnesota","michigan",541
"750",1,"new york","south carolina",414
"751",1,"new york","michigan",1439
"752",1,"massachusetts","georgia",486
"753",1,"georgia","minnesota",384
"754",1,"georgia","massachusetts",488
"755",1,"minnesota","nevada",222
"756",1,"nevada","minnesota",225
"757",1,"georgia","michigan",626
"758",1,"california","ohio",171
"759",1,"ohio","california",168
"760",1,"california","michigan",449
"761",1,"georgia","kentucky",695
"762",1,"kentucky","georgia",693
"763",1,"kentucky","utah",31
"764",1,"georgia","nebraska",165
"765",1,"nebraska","georgia",165
"766",1,"minnesota","new york",387
"767",1,"california","kentucky",95
"768",1,"utah","tennessee",46
"769",1,"utah","pennsylvania",65
"770",1,"ohio","michigan",390
"771",1,"new york","massachusetts",1557
"772",1,"washington","utah",551
"773",1,"utah","washington",550
"774",1,"massachusetts","michigan",295
"775",1,"wisconsin","minnesota",709
"776",1,"washington","michigan",151
"777",1,"south dakota","georgia",27
"778",1,"washington","minnesota",298
"779",1,"michigan","california",449
"780",1,"minnesota","washington",299
"781",1,"minnesota","massachusetts",249
"782",1,"michigan","georgia",624
"783",1,"georgia","arkansas",417
"784",1,"arkansas","georgia",417
"785",1,"georgia","connecticut",191
"786",1,"connecticut","georgia",191
"787",1,"kentucky","washington",17
"788",1,"washington","hawaii",525
"789",1,"michigan","new york",1441
"790",1,"georgia","washington",213
"791",1,"minnesota","south dakota",348
"792",1,"hawaii","washington",524
"793",1,"north dakota","minnesota",693
"794",1,"south dakota","minnesota",347
"795",1,"florida","utah",199
"796",1,"connecticut","minnesota",102
"797",1,"massachusetts","nevada",187
"798",1,"nevada","massachusetts",188
"799",1,"washington","new york",236
"800",1,"georgia","georgia",1703
"801",1,"rhode island","michigan",85
"802",1,"new jersey","utah",117
"803",1,"michigan","massachusetts",295
"804",1,"michigan","michigan",1715
"805",1,"new york","minnesota",386
"806",1,"minnesota","oregon",89
"807",1,"oregon","minnesota",90
"808",1,"michigan","minnesota",542
"809",1,"minnesota","wisconsin",709
"810",1,"georgia","iowa",150
"811",1,"iowa","georgia",150
"812",1,"georgia","alabama",1000
"813",1,"minnesota","georgia",385
"814",1,"alabama","georgia",999
"815",1,"minnesota","montana",242
"816",1,"alaska","minnesota",23
"817",1,"minnesota","alaska",23
"818",1,"utah","idaho",622
"819",1,"oregon","new york",83
"820",1,"georgia","mississippi",474
"821",1,"minnesota","connecticut",102
"822",1,"utah","oregon",408
"823",1,"utah","new jersey",118
"824",1,"utah","minnesota",148
"825",1,"montana","utah",623
"826",1,"michigan","connecticut",133
"827",1,"montana","minnesota",242
"828",1,"washington","georgia",212
"829",1,"oregon","utah",408
"830",1,"minnesota","louisiana",47
"831",1,"louisiana","michigan",122
"832",1,"utah","montana",622
"833",1,"michigan","utah",119
"834",1,"georgia","oklahoma",297
